,Year,Month,Sales(In ThousandDollars),Monthly Nominal GDP Index (inMillion$),Monthly Real GDP Index (inMillion$),CPI,unemployment rate,CommercialBankInterestRateonCreditCardPlans,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan",Earnings or wages  in dollars per hour,Cotton Monthly Price - US cents per Pound(lbs),Change(in%),Average upland planted(million acres),Average upland harvested(million acres),yieldperharvested acre,Production (in  480-lb netweright in million bales),Mill use  (in  480-lb netweright in million bales),Exports,ProductCategory_OtherClothing,ProductCategory_WomenClothing
0,2009,1,1755.0,14421.7528954451,14407.053343022,233.402,7.8,12.03,11.44,22.05,57.7,4.02,9.296,7.559,799.0,12.589,4.17,11.55,0,1
1,2009,1,524.0,14421.7528954451,14407.053343022,233.402,7.8,12.03,11.44,22.05,57.7,4.02,9.296,7.559,799.0,12.589,4.17,11.55,0,0
2,2009,1,936.0,14421.7528954451,14407.053343022,233.402,7.8,12.03,11.44,22.05,57.7,4.02,9.296,7.559,799.0,12.589,4.17,11.55,1,0
3,2009,2,1729.0,14389.2004660291,14366.1765714005,234.663,8.3,12.97,11.05,22.22,55.21,-4.32,9.296,7.559,799.0,12.589,3.87,11.1,0,1
4,2009,2,496.0,14389.2004660291,14366.1765714005,234.663,8.3,12.97,11.05,22.22,55.21,-4.32,9.296,7.559,799.0,12.589,3.87,11.1,0,0
5,2009,2,859.0,14389.2004660291,14366.1765714005,234.663,8.3,12.97,11.05,22.22,55.21,-4.32,9.296,7.559,799.0,12.589,3.87,11.1,1,0
6,2009,3,2256.0,14340.7016385792,14351.7868217385,235.067,8.7,12.97,11.05,22.22,51.5,-6.72,9.296,7.559,799.0,12.589,3.72,11.65,0,1
7,2009,3,542.0,14340.7016385792,14351.7868217385,235.067,8.7,12.97,11.05,22.22,51.5,-6.72,9.296,7.559,799.0,12.589,3.72,11.65,0,0
8,2009,3,921.0,14340.7016385792,14351.7868217385,235.067,8.7,12.97,11.05,22.22,51.5,-6.72,9.296,7.559,799.0,12.589,3.72,11.65,1,0
9,2009,4,2662.0,14326.8155253522,14351.6017305356,235.582,9.0,12.97,11.05,22.13,56.78,10.25,9.296,7.559,787.0,12.4,3.62,12.225,0,1
10,2009,4,669.0,14326.8155253522,14351.6017305356,235.582,9.0,12.97,11.05,22.13,56.78,10.25,9.296,7.559,787.0,12.4,3.62,12.225,0,0
