Year,Month,ProductCategory,Sales(In ThousandDollars)
2009,1,WomenClothing,1755
2009,1,MenClothing,524
2009,1,OtherClothing,936
2009,2,WomenClothing,1729
2009,2,MenClothing,496
2009,2,OtherClothing,859
2009,3,WomenClothing,2256
2009,3,MenClothing,542
2009,3,OtherClothing,921
2009,4,WomenClothing,2662
2009,4,MenClothing,669
2009,4,OtherClothing,914
2009,5,WomenClothing,2732
2009,5,MenClothing,650
2009,5,OtherClothing,989
2009,6,WomenClothing,2220
2009,6,MenClothing,607
2009,6,OtherClothing,932
2009,7,WomenClothing,2164
2009,7,MenClothing,575
2009,7,OtherClothing,901
2009,8,WomenClothing,2371
2009,8,MenClothing,551
2009,8,OtherClothing,865
2009,9,WomenClothing,2421
2009,9,MenClothing,579
2009,9,OtherClothing,819
2009,10,WomenClothing,2579
2009,10,MenClothing,610
2009,10,OtherClothing,914
2009,11,WomenClothing,2521
2009,11,MenClothing,620
2009,11,OtherClothing,955
2009,12,WomenClothing,3390
2009,12,MenClothing,930
2009,12,OtherClothing,1351
2010,1,WomenClothing,2142
2010,1,MenClothing,476
2010,1,OtherClothing,945
2010,2,WomenClothing,2413
2010,2,MenClothing,471
2010,2,OtherClothing,869
2010,3,WomenClothing,3102
2010,3,MenClothing,568
2010,3,OtherClothing,941
2010,4,WomenClothing,
2010,4,MenClothing,630
2010,4,OtherClothing,
2010,5,WomenClothing,3221
2010,5,MenClothing,627
2010,5,OtherClothing,991
2010,6,WomenClothing,2756
2010,6,MenClothing,598
2010,6,OtherClothing,984
2010,7,WomenClothing,2749
2010,7,MenClothing,544
2010,7,OtherClothing,937
2010,8,WomenClothing,2807
2010,8,MenClothing,
2010,8,OtherClothing,897
2010,9,WomenClothing,2919
2010,9,MenClothing,563
2010,9,OtherClothing,839
2010,10,WomenClothing,3071
2010,10,MenClothing,634
2010,10,OtherClothing,930
2010,11,WomenClothing,3276
2010,11,MenClothing,669
2010,11,OtherClothing,1035
2010,12,WomenClothing,4360
2010,12,MenClothing,988
2010,12,OtherClothing,1398
2011,1,WomenClothing,2193
2011,1,MenClothing,487
2011,1,OtherClothing,968
2011,2,WomenClothing,2620
2011,2,MenClothing,497
2011,2,OtherClothing,878
2011,3,WomenClothing,3266
2011,3,MenClothing,599
2011,3,OtherClothing,1064
2011,4,WomenClothing,3414
2011,4,MenClothing,690
2011,4,OtherClothing,985
2011,5,WomenClothing,3340
2011,5,MenClothing,677
2011,5,OtherClothing,1027
2011,6,WomenClothing,3232
2011,6,MenClothing,
2011,6,OtherClothing,
2011,7,WomenClothing,2896
2011,7,MenClothing,587
2011,7,OtherClothing,985
2011,8,WomenClothing,3245
2011,8,MenClothing,549
2011,8,OtherClothing,1001
2011,9,WomenClothing,3182
2011,9,MenClothing,643
2011,9,OtherClothing,930
2011,10,WomenClothing,
2011,10,MenClothing,682
2011,10,OtherClothing,1020
2011,11,WomenClothing,3499
2011,11,MenClothing,707
2011,11,OtherClothing,1147
2011,12,WomenClothing,4775
2011,12,MenClothing,1081
2011,12,OtherClothing,1596
2012,1,WomenClothing,2287
2012,1,MenClothing,525
2012,1,OtherClothing,1039
2012,2,WomenClothing,2800
2012,2,MenClothing,545
2012,2,OtherClothing,
2012,3,WomenClothing,3566
2012,3,MenClothing,623
2012,3,OtherClothing,1229
2012,4,WomenClothing,3724
2012,4,MenClothing,711
2012,4,OtherClothing,1136
2012,5,WomenClothing,3800
2012,5,MenClothing,725
2012,5,OtherClothing,1155
2012,6,WomenClothing,3086
2012,6,MenClothing,703
2012,6,OtherClothing,1205
2012,7,WomenClothing,2877
2012,7,MenClothing,613
2012,7,OtherClothing,1049
2012,8,WomenClothing,3059
2012,8,MenClothing,
2012,8,OtherClothing,1124
2012,9,WomenClothing,
2012,9,MenClothing,687
2012,9,OtherClothing,1045
2012,10,WomenClothing,3168
2012,10,MenClothing,710
2012,10,OtherClothing,1158
2012,11,WomenClothing,3558
2012,11,MenClothing,731
2012,11,OtherClothing,1252
2012,12,WomenClothing,4824
2012,12,MenClothing,1080
2012,12,OtherClothing,1475
2013,1,WomenClothing,2320
2013,1,MenClothing,599
2013,1,OtherClothing,1036
2013,2,WomenClothing,2872
2013,2,MenClothing,560
2013,2,OtherClothing,1144
2013,3,WomenClothing,3687
2013,3,MenClothing,682
2013,3,OtherClothing,1346
2013,4,WomenClothing,3883
2013,4,MenClothing,718
2013,4,OtherClothing,1188
2013,5,WomenClothing,4170
2013,5,MenClothing,749
2013,5,OtherClothing,1194
2013,6,WomenClothing,3360
2013,6,MenClothing,678
2013,6,OtherClothing,1261
2013,7,WomenClothing,3320
2013,7,MenClothing,648
2013,7,OtherClothing,1126
2013,8,WomenClothing,3539
2013,8,MenClothing,687
2013,8,OtherClothing,1311
2013,9,WomenClothing,3720
2013,9,MenClothing,681
2013,9,OtherClothing,1043
2013,10,WomenClothing,3590
2013,10,MenClothing,785
2013,10,OtherClothing,
2013,11,WomenClothing,3834
2013,11,MenClothing,798
2013,11,OtherClothing,1209
2013,12,WomenClothing,4865
2013,12,MenClothing,1085
2013,12,OtherClothing,1566
2014,1,WomenClothing,2961
2014,1,MenClothing,573
2014,1,OtherClothing,1172
2014,2,WomenClothing,3381
2014,2,MenClothing,636
2014,2,OtherClothing,1123
2014,3,WomenClothing,4268
2014,3,MenClothing,702
2014,3,OtherClothing,1293
2014,4,WomenClothing,4223
2014,4,MenClothing,785
2014,4,OtherClothing,1196
2014,5,WomenClothing,4421
2014,5,MenClothing,801
2014,5,OtherClothing,1257
2014,6,WomenClothing,3905
2014,6,MenClothing,702
2014,6,OtherClothing,
2014,7,WomenClothing,3733
2014,7,MenClothing,655
2014,7,OtherClothing,1175
2014,8,WomenClothing,4067
2014,8,MenClothing,692
2014,8,OtherClothing,1337
2014,9,WomenClothing,4481
2014,9,MenClothing,
2014,9,OtherClothing,1056
2014,10,WomenClothing,4434
2014,10,MenClothing,757
2014,10,OtherClothing,1153
2014,11,WomenClothing,4525
2014,11,MenClothing,803
2014,11,OtherClothing,1468
2014,12,WomenClothing,5664
2014,12,MenClothing,1070
2014,12,OtherClothing,1967
